"","NR.AhR","NR.AR","NR.AR.LBD","NR.Aromatase","NR.ER","NR.ER.LBD","NR.PPAR.gamma","SR.ARE","SR.ATAD5","SR.HSE","SR.MMP","SR.p53"
"NCGC00016585-01",0,0,0,0,0,0,0,NA,0,NA,NA,0
"NCGC00094412-02",NA,0,0,0,0,0,0,NA,0,NA,0,0
"NCGC00014486-01",0,0,0,0,0,0,0,NA,0,NA,0,0
"NCGC00090759-01",0,0,0,0,0,0,0,NA,0,NA,NA,0
"NCGC00259080-01",0,0,0,NA,0,0,0,0,0,NA,NA,NA
"NCGC00022612-04",NA,0,0,0,0,0,0,NA,0,NA,0,0
"NCGC00254952-01",0,0,0,0,NA,0,NA,1,0,0,NA,0
"NCGC00015257-08",0,0,0,0,1,0,0,NA,0,NA,0,0
"NCGC00016548-01",NA,0,0,0,0,0,0,NA,0,NA,0,0
"NCGC00092377-02",0,0,0,0,0,0,0,NA,0,NA,NA,0
"NCGC00094524-01",0,0,0,0,0,0,0,NA,0,NA,NA,0
"NCGC00255214-01",NA,1,0,0,1,NA,0,1,0,0,1,NA
"NCGC00016957-01",0,0,0,0,0,0,1,NA,0,NA,NA,0
"NCGC00259994-01",0,0,0,NA,0,NA,NA,1,0,0,NA,0
"NCGC00096003-01",0,NA,0,0,0,0,0,NA,0,NA,0,0
"NCGC00094670-01",0,0,0,0,1,NA,0,NA,0,NA,0,0
"NCGC00163168-01",NA,0,0,0,0,0,0,NA,0,NA,0,0
"NCGC00015269-03",0,0,0,0,NA,0,0,NA,1,NA,0,0
"NCGC00159515-02",0,0,0,0,0,0,0,NA,0,NA,NA,0
"NCGC00167558-01",0,0,0,0,NA,0,0,NA,0,NA,0,0
"NCGC00166310-01",0,0,0,0,1,0,0,NA,0,NA,NA,0
"NCGC00015987-05",NA,0,0,0,0,0,0,NA,0,NA,0,0
"NCGC00159496-02",0,0,0,0,0,0,0,NA,0,NA,NA,0
"NCGC00094509-01",NA,0,0,0,0,0,0,NA,0,NA,0,0
"NCGC00016987-01",0,0,0,0,0,0,0,NA,0,NA,NA,0
"NCGC00164480-01",0,0,0,0,0,0,0,NA,0,NA,NA,0
"NCGC00159480-03",0,0,0,0,0,0,0,NA,0,NA,NA,0
"NCGC00167532-01",NA,0,0,0,0,0,0,NA,0,NA,0,0
"NCGC00095838-01",0,0,0,0,0,0,0,NA,0,NA,NA,0
"NCGC00255126-01",0,0,0,0,NA,0,NA,NA,0,1,0,1
"NCGC00164606-01",0,0,0,0,0,0,0,NA,0,NA,NA,0
"NCGC00094384-01",NA,0,0,0,0,0,0,NA,0,NA,0,0
"NCGC00160264-01",0,0,0,0,NA,0,0,NA,0,NA,0,0
"NCGC00159469-02",0,0,0,0,0,0,0,NA,0,NA,0,0
"NCGC00260154-01",NA,0,0,NA,1,0,0,NA,1,0,NA,0
"NCGC00016388-01",0,0,0,0,0,0,0,NA,0,NA,0,NA
"NCGC00166317-01",0,0,0,0,NA,0,0,NA,0,NA,0,0
"NCGC00095182-01",NA,0,0,0,0,0,0,NA,0,NA,0,0
"NCGC00160398-01",0,0,0,0,0,0,0,NA,0,NA,NA,0
"NCGC00181153-01",NA,0,0,0,0,0,0,NA,0,NA,0,0
"NCGC00016924-02",NA,0,0,0,0,0,0,NA,0,NA,0,0
"NCGC00167754-01",0,0,NA,0,0,0,0,NA,0,NA,1,0
"NCGC00159473-02",0,0,0,0,0,0,0,NA,0,NA,NA,0
"NCGC00159418-02",0,0,0,0,0,0,0,NA,0,NA,NA,0
"NCGC00016599-01",0,0,NA,0,0,0,0,NA,0,NA,0,0
"NCGC00160491-01",NA,0,0,0,0,0,0,NA,0,NA,0,0
"NCGC00183837-01",0,0,0,NA,0,0,NA,NA,0,0,NA,0
"NCGC00015572-04",0,0,0,0,NA,0,0,NA,0,NA,0,0
"NCGC00160402-01",0,0,0,0,NA,0,1,NA,0,NA,0,0
"NCGC00164619-01",0,0,0,1,0,0,0,NA,0,NA,NA,0
"NCGC00163256-01",NA,0,0,0,0,0,0,NA,0,NA,0,0
"NCGC00096053-01",NA,0,0,0,0,0,0,NA,0,NA,0,0
"NCGC00167429-01",NA,0,0,0,0,0,0,NA,0,NA,0,0
"NCGC00016302-01",0,0,0,0,0,0,0,NA,NA,NA,0,0
"NCGC00181743-01",0,0,0,0,0,0,0,NA,0,NA,0,NA
"NCGC00159453-02",NA,0,0,0,0,0,0,NA,0,NA,0,0
"NCGC00159395-02",0,0,0,0,0,0,0,NA,0,NA,0,NA
"NCGC00160592-01",NA,0,0,0,0,0,0,NA,0,NA,0,0
"NCGC00167534-01",NA,0,0,0,0,0,0,NA,0,NA,0,0
"NCGC00185741-01",NA,0,0,0,0,0,0,NA,0,NA,0,0
"NCGC00016646-02",NA,0,0,0,0,0,0,NA,0,NA,0,0
"NCGC00258486-01",1,0,0,NA,NA,0,NA,1,0,0,1,NA
"NCGC00162319-02",NA,0,0,0,0,0,0,NA,0,NA,0,0
"NCGC00016313-01",0,0,0,0,0,0,0,NA,0,NA,NA,0
"NCGC00095312-01",0,0,0,0,0,0,0,NA,0,NA,NA,0
"NCGC00167446-01",0,0,0,0,0,0,0,NA,0,NA,NA,0
"NCGC00182076-02",NA,0,0,0,0,0,0,NA,0,NA,0,0
"NCGC00015508-08",0,0,0,0,0,0,0,NA,0,NA,NA,0
"NCGC00024667-04",0,0,0,0,0,0,0,NA,0,NA,0,0
"NCGC00166059-01",0,0,0,0,1,0,0,NA,0,NA,NA,0
"NCGC00166022-01",0,0,0,0,NA,0,0,NA,0,NA,0,0
"NCGC00164622-01",NA,0,0,0,0,0,0,NA,0,NA,0,0
"NCGC00016962-01",0,0,0,0,0,0,0,NA,0,NA,NA,0
"NCGC00159442-02",0,0,0,0,0,0,0,NA,0,NA,NA,0
"NCGC00095002-01",0,0,0,0,0,0,0,NA,0,NA,0,0
"NCGC00253929-01",0,0,0,0,NA,0,0,0,0,0,NA,0
"NCGC00160552-01",NA,0,0,0,0,0,0,NA,0,NA,0,0
"NCGC00093366-03",0,0,0,0,0,NA,0,NA,0,NA,0,0
"NCGC00094736-01",0,0,0,0,NA,0,0,NA,0,NA,0,0
"NCGC00094935-01",0,0,0,0,NA,0,0,NA,0,NA,0,0
"NCGC00090820-01",0,0,0,0,0,0,NA,NA,0,NA,0,0
"NCGC00091326-01",0,0,0,0,0,0,0,NA,0,NA,NA,0
"NCGC00095316-01",NA,0,0,0,0,0,0,NA,0,NA,0,0
"NCGC00159454-02",NA,0,0,0,0,0,0,NA,0,NA,0,0
"NCGC00163179-01",0,0,0,0,0,0,0,NA,0,NA,NA,0
"NCGC00160468-01",0,0,0,0,NA,0,0,NA,0,NA,0,0
"NCGC00164482-01",NA,0,0,0,0,0,0,NA,0,NA,0,0
"NCGC00016767-02",0,0,0,0,0,0,0,NA,0,NA,NA,0
"NCGC00166026-01",0,0,0,0,NA,0,0,NA,0,NA,0,0
"NCGC00167549-01",NA,0,0,0,0,0,0,NA,0,NA,0,0
"NCGC00160674-01",NA,0,0,0,0,0,0,NA,0,NA,0,0
"NCGC00017043-02",0,0,0,0,0,0,0,NA,0,NA,NA,0
"NCGC00160439-01",NA,0,0,0,0,0,0,NA,0,NA,0,0
"NCGC00016819-01",0,0,0,0,0,0,0,NA,0,NA,NA,0
"NCGC00016850-01",0,0,0,0,0,0,NA,NA,0,NA,0,0
"NCGC00015204-05",0,0,0,0,0,0,0,NA,0,NA,0,NA
"NCGC00015726-06",NA,0,0,0,0,0,0,NA,0,NA,0,0
"NCGC00160572-01",1,0,0,0,0,0,0,NA,0,NA,NA,0
"NCGC00182053-02",0,0,0,0,0,0,0,NA,0,NA,NA,0
"NCGC00091192-02",0,0,NA,0,0,0,0,NA,0,NA,0,0
"NCGC00094136-01",0,0,0,0,0,0,0,NA,0,NA,NA,0
"NCGC00091062-04",1,0,0,0,0,0,0,NA,0,NA,NA,0
"NCGC00182714-01",NA,0,0,0,0,0,0,NA,0,NA,0,0
"NCGC00253947-01",0,0,0,NA,0,NA,1,1,NA,0,NA,1
"NCGC00188429-01",0,0,0,0,NA,0,0,NA,0,NA,0,0
"NCGC00095903-01",0,0,0,0,0,0,0,NA,0,NA,NA,0
"NCGC00167980-01",0,0,NA,0,0,0,0,NA,0,NA,0,0
"NCGC00016720-01",0,0,0,0,0,0,0,NA,0,NA,NA,0
"NCGC00095775-01",0,0,0,0,0,0,0,NA,0,NA,NA,0
"NCGC00095160-01",1,0,0,0,0,0,0,NA,0,NA,NA,0
"NCGC00160359-01",NA,0,0,0,0,0,0,NA,0,NA,0,0
"NCGC00016916-09",NA,0,0,0,0,0,0,NA,0,NA,0,0
"NCGC00018181-08",0,0,NA,0,0,0,0,NA,0,NA,0,0
"NCGC00092328-01",NA,0,0,0,0,0,0,NA,0,NA,0,0
"NCGC00160440-01",0,0,NA,0,0,0,1,NA,0,NA,0,0
"NCGC00160449-01",0,0,NA,0,0,0,0,NA,0,NA,0,0
"NCGC00016849-01",0,0,0,0,0,0,0,NA,0,NA,NA,0
"NCGC00160573-01",0,0,NA,0,0,0,0,NA,0,NA,0,0
"NCGC00162222-01",0,0,NA,0,1,0,0,NA,0,NA,0,0
"NCGC00015199-08",NA,0,0,0,0,0,0,NA,0,NA,0,1
"NCGC00094990-01",NA,0,0,0,0,0,0,NA,0,NA,0,0
"NCGC00258786-01",1,0,0,NA,NA,0,0,0,0,NA,NA,1
"NCGC00160497-01",0,0,0,0,0,0,0,NA,0,NA,0,0
"NCGC00016955-01",0,0,0,0,0,0,0,NA,0,NA,NA,0
"NCGC00166259-01",0,0,0,0,1,1,0,NA,0,NA,NA,0
"NCGC00160454-01",NA,0,0,0,0,0,1,NA,0,NA,0,0
"NCGC00182622-02",0,0,0,0,0,0,0,NA,0,NA,NA,0
"NCGC00166105-01",0,0,0,0,0,0,0,NA,0,NA,NA,0
"NCGC00095088-01",0,0,0,0,0,0,NA,NA,0,NA,0,0
"NCGC00164636-01",0,0,0,0,0,0,0,NA,0,NA,NA,0
"NCGC00181148-01",NA,0,0,0,0,0,0,NA,0,NA,0,0
"NCGC00164256-01",0,0,0,0,NA,0,0,NA,0,NA,0,0
"NCGC00160407-01",0,0,NA,0,0,0,0,NA,0,NA,1,0
"NCGC00164015-01",NA,0,0,0,0,0,0,NA,0,NA,1,0
"NCGC00164546-01",0,0,0,0,0,0,0,NA,0,NA,0,0
"NCGC00015223-08",0,0,0,0,0,0,0,NA,0,NA,NA,0
"NCGC00256412-01",NA,0,0,NA,1,1,0,NA,0,0,0,0
"NCGC00015162-04",NA,0,0,0,0,0,0,NA,0,NA,0,0
"NCGC00160493-01",0,0,0,0,0,0,0,NA,0,NA,NA,0
"NCGC00182065-02",NA,0,0,0,0,0,0,NA,0,NA,0,0
"NCGC00164518-01",0,0,0,0,0,0,0,NA,0,NA,NA,0
"NCGC00016879-01",0,0,0,0,0,0,NA,NA,0,NA,0,0
"NCGC00015216-11",0,0,0,0,0,0,0,NA,0,NA,NA,0
"NCGC00016323-04",0,0,0,0,NA,0,0,NA,0,NA,0,0
"NCGC00160653-01",0,0,0,0,0,0,0,NA,0,NA,NA,0
"NCGC00160667-01",0,0,0,0,0,0,0,NA,0,NA,NA,0
"NCGC00160679-01",0,0,0,0,0,0,0,NA,0,NA,NA,0
"NCGC00163318-01",0,0,0,0,0,0,0,NA,0,NA,NA,0
"NCGC00160410-01",NA,0,0,0,0,0,0,NA,0,NA,0,0
"NCGC00166018-01",NA,0,0,0,1,1,0,NA,0,NA,0,0
"NCGC00181007-01",NA,0,0,0,0,0,0,NA,0,NA,0,0
"NCGC00094655-01",0,0,0,0,1,0,0,NA,0,NA,NA,0
"NCGC00182543-01",0,0,0,0,NA,0,0,NA,0,NA,0,0
"NCGC00160198-01",NA,0,0,0,0,0,0,NA,0,NA,0,0
"NCGC00160516-01",0,NA,0,0,0,0,0,NA,0,NA,0,0
"NCGC00016629-01",0,0,0,0,0,0,0,NA,0,NA,NA,0
"NCGC00164557-01",0,0,0,0,0,0,0,NA,0,NA,NA,0
"NCGC00182966-01",0,0,0,0,NA,0,0,NA,0,NA,0,0
"NCGC00160128-02",0,0,0,0,NA,0,0,NA,0,NA,0,0
"NCGC00015441-04",0,0,0,0,NA,0,0,NA,0,NA,0,0
"NCGC00014711-01",0,0,0,0,NA,0,1,NA,0,NA,0,0
"NCGC00091345-01",0,0,0,0,0,0,0,NA,0,NA,NA,0
"NCGC00091396-02",0,0,0,0,0,0,0,NA,0,NA,0,0
"NCGC00255485-01",0,0,0,NA,0,0,NA,NA,0,0,1,NA
"NCGC00015760-06",0,0,0,0,0,0,0,NA,0,NA,NA,0
"NCGC00167425-01",NA,0,0,0,0,0,0,NA,0,NA,0,0
"NCGC00015768-02",NA,0,0,0,0,0,0,NA,0,NA,0,0
"NCGC00094614-03",0,0,0,0,0,0,0,NA,0,NA,1,0
"NCGC00259956-01",0,0,0,NA,1,1,NA,1,0,NA,1,1
"NCGC00091655-02",0,0,0,0,NA,0,0,NA,0,NA,1,0
"NCGC00254275-01",1,NA,0,NA,1,1,NA,1,1,0,1,NA
"NCGC00258995-01",1,0,NA,NA,1,1,0,NA,1,0,NA,0
"NCGC00015215-02",0,0,0,0,0,0,0,NA,0,NA,NA,0
"NCGC00091390-02",0,0,0,0,0,0,NA,NA,0,NA,0,0
"NCGC00255669-01",0,0,NA,NA,0,0,1,NA,0,0,0,NA
"NCGC00015094-02",0,0,0,0,0,0,0,NA,0,NA,NA,0
"NCGC00093797-03",0,0,NA,0,0,0,0,NA,0,NA,0,0
"NCGC00017135-01",0,0,NA,0,0,0,0,NA,0,NA,0,0
"NCGC00166000-01",0,0,0,0,0,0,0,NA,0,NA,NA,0
"NCGC00094908-01",0,0,0,0,1,NA,0,NA,0,NA,0,0
"NCGC00090701-06",1,0,0,1,NA,NA,0,1,0,NA,1,0
"NCGC00159353-02",0,0,0,0,1,1,0,NA,0,NA,0,0
"NCGC00259250-01",NA,0,0,NA,NA,0,NA,0,0,0,0,0
"NCGC00181335-01",NA,0,0,0,1,1,0,NA,0,NA,0,0
"NCGC00260355-01",0,0,0,NA,0,0,NA,NA,0,1,NA,0
"NCGC00095042-04",0,0,0,0,0,0,0,NA,0,NA,0,NA
"NCGC00259368-01",NA,NA,0,NA,0,0,0,0,0,0,0,0
"NCGC00256010-01",NA,0,0,NA,NA,0,0,0,0,0,NA,0
"NCGC00260432-01",1,0,NA,NA,NA,0,0,1,0,0,NA,0
"NCGC00254598-01",NA,0,0,NA,NA,0,0,NA,0,0,0,0
"NCGC00255293-01",0,0,0,NA,NA,0,0,NA,0,NA,0,0
"NCGC00254157-01",0,0,NA,1,0,0,NA,1,0,0,1,0
"NCGC00259284-01",0,NA,0,NA,NA,0,0,0,0,0,0,0
"NCGC00259329-01",NA,NA,0,NA,0,0,0,0,0,0,0,0
"NCGC00255617-01",0,0,NA,NA,0,0,0,0,0,NA,NA,0
"NCGC00259383-01",0,0,0,NA,NA,0,NA,1,0,0,0,NA
"NCGC00183007-01",NA,0,0,NA,0,0,NA,0,0,0,NA,0
"NCGC00256582-01",1,0,0,1,NA,0,0,NA,0,0,NA,1
"NCGC00259326-01",0,NA,0,NA,1,1,0,0,0,0,NA,0
"NCGC00259066-01",1,0,0,NA,NA,0,NA,1,0,0,NA,1
"NCGC00259037-01",0,0,0,NA,NA,NA,0,1,0,0,0,0
"NCGC00257262-01",1,0,0,NA,NA,0,NA,NA,0,0,0,0
"NCGC00090760-08",0,0,0,NA,1,NA,0,0,0,NA,1,NA
"NCGC00260441-01",NA,0,0,NA,1,0,0,0,1,0,NA,NA
"NCGC00257200-01",NA,0,0,NA,NA,0,0,0,0,NA,1,0
"NCGC00254951-01",1,0,0,1,0,1,0,NA,0,0,NA,1
"NCGC00257167-01",0,0,0,1,0,0,NA,NA,0,0,1,NA
"NCGC00258520-01",0,0,0,NA,NA,0,NA,NA,0,0,0,1
"NCGC00256590-01",1,0,NA,NA,NA,0,0,1,0,NA,1,0
"NCGC00257387-01",1,0,0,NA,1,0,NA,0,1,0,NA,NA
"NCGC00256917-01",0,0,NA,0,1,1,1,1,1,NA,0,NA
"NCGC00256606-01",0,0,NA,0,1,1,0,NA,0,0,NA,0
"NCGC00257498-01",0,0,0,NA,NA,0,NA,1,0,0,NA,0
"NCGC00257192-01",0,0,0,NA,NA,0,NA,1,0,1,0,NA
"NCGC00259545-01",0,0,NA,NA,1,1,0,NA,0,0,0,0
"NCGC00255227-01",0,0,0,0,NA,NA,0,1,0,0,NA,0
"NCGC00260366-01",0,0,0,NA,1,0,NA,NA,0,0,NA,0
"NCGC00255779-01",NA,0,0,NA,0,NA,0,NA,0,0,0,0
"NCGC00254138-01",NA,0,0,0,NA,1,NA,1,0,0,1,0
"NCGC00257425-01",NA,0,0,NA,1,1,0,NA,0,0,NA,0
"NCGC00259900-01",0,0,0,NA,1,1,0,0,0,NA,NA,NA
"NCGC00254184-01",0,0,0,NA,1,NA,NA,1,0,0,1,1
"NCGC00256447-01",0,NA,0,NA,1,1,0,1,0,0,NA,0
"NCGC00256419-01",NA,0,0,NA,1,1,NA,NA,1,0,1,1
"NCGC00258979-01",NA,0,NA,NA,1,1,NA,1,1,0,1,1
"NCGC00259866-01",1,0,0,NA,NA,1,0,1,0,NA,0,0
"NCGC00257465-01",NA,1,0,NA,1,1,NA,1,1,0,1,NA
"NCGC00255349-01",0,0,0,NA,NA,0,NA,1,0,0,1,NA
"NCGC00254625-01",0,0,0,0,NA,0,0,NA,0,1,0,0
"NCGC00256117-01",NA,0,0,NA,0,0,NA,NA,0,0,0,0
"NCGC00255525-01",1,0,0,NA,NA,0,0,NA,0,NA,1,0
"NCGC00258739-01",0,0,0,NA,0,0,0,NA,NA,1,NA,1
"NCGC00257293-01",0,0,NA,NA,0,NA,1,1,NA,1,0,1
"NCGC00259262-01",0,NA,0,NA,NA,0,0,0,0,0,0,0
"NCGC00258518-01",0,NA,0,NA,NA,0,0,NA,0,0,0,0
"NCGC00257605-01",0,NA,NA,NA,0,0,0,0,0,0,0,0
"NCGC00257329-01",NA,1,0,NA,NA,NA,0,1,0,0,0,0
"NCGC00260526-01",NA,0,0,0,NA,0,0,1,0,0,NA,0
"NCGC00259367-01",0,NA,0,NA,NA,0,0,0,0,0,0,0
"NCGC00254449-01",0,0,NA,0,0,0,1,NA,0,0,NA,0
"NCGC00259351-01",NA,NA,0,NA,0,0,0,0,0,0,0,0
"NCGC00259701-01",NA,0,0,NA,0,0,0,NA,0,0,1,NA
"NCGC00254373-01",0,0,0,1,NA,0,0,NA,0,NA,1,0
"NCGC00259945-01",0,0,0,NA,NA,0,NA,NA,0,0,1,0
"NCGC00255353-01",0,0,0,NA,0,0,0,NA,1,NA,NA,0
"NCGC00253951-01",0,0,0,0,0,0,0,0,0,NA,1,NA
"NCGC00259965-01",1,0,1,NA,NA,NA,0,NA,1,0,1,1
"NCGC00258420-01",0,0,1,0,0,1,NA,NA,0,NA,1,1
"NCGC00254758-01",0,0,0,NA,0,0,0,NA,0,NA,0,NA
"NCGC00257459-01",0,NA,0,0,NA,0,NA,1,0,0,1,0
"NCGC00182704-02",1,0,0,1,NA,0,NA,1,0,NA,0,0
"NCGC00255397-01",1,0,0,NA,1,0,0,NA,NA,0,NA,0
"NCGC00255404-01",NA,0,0,0,NA,0,0,0,0,0,NA,0
"NCGC00259539-01",1,0,0,NA,1,0,NA,NA,1,0,NA,0
"NCGC00258096-01",NA,NA,0,NA,1,1,0,NA,0,0,1,0
"NCGC00259837-01",NA,0,NA,NA,1,1,0,NA,0,1,1,1
"NCGC00258837-01",NA,0,0,NA,1,1,0,1,0,NA,NA,0
"NCGC00259417-01",0,0,0,0,0,0,NA,1,0,NA,1,NA
"NCGC00259720-01",0,0,0,0,0,0,NA,0,0,NA,0,NA
"NCGC00259785-01",0,0,NA,0,NA,0,NA,1,0,0,0,0
"NCGC00257180-01",0,0,0,NA,NA,0,NA,NA,0,0,0,0
"NCGC00256068-01",0,0,0,0,1,NA,0,NA,0,0,NA,0
"NCGC00260495-01",NA,NA,0,NA,1,NA,0,0,0,0,1,0
"NCGC00260671-01",NA,0,0,NA,1,NA,NA,1,0,0,1,0
"NCGC00259880-01",NA,0,0,1,NA,0,0,0,0,0,NA,0
"NCGC00257243-01",0,0,0,0,0,0,NA,NA,0,NA,0,0
"NCGC00258178-01",1,0,0,0,NA,0,NA,1,0,0,1,NA
"NCGC00257420-01",NA,0,0,NA,1,0,0,NA,0,0,NA,0
"NCGC00258738-01",0,0,NA,NA,NA,0,0,0,0,NA,0,0
"NCGC00258539-01",0,NA,0,NA,1,0,NA,1,0,0,1,NA
"NCGC00256415-01",NA,1,1,NA,NA,0,NA,1,0,0,0,0
"NCGC00260511-01",NA,0,0,NA,1,0,NA,NA,0,0,1,0
"NCGC00258743-01",NA,0,0,0,0,0,NA,NA,0,1,1,1
"NCGC00259163-01",0,0,0,0,0,0,NA,NA,0,0,0,NA
"NCGC00253928-01",0,0,0,0,0,0,NA,NA,0,0,NA,1
"NCGC00254300-01",0,0,NA,NA,0,0,0,NA,0,0,0,NA
"NCGC00259445-01",0,0,0,1,NA,NA,0,NA,0,0,1,0
"NCGC00259641-01",0,0,0,0,0,0,NA,0,0,NA,NA,0
"NCGC00256540-01",NA,0,0,0,0,0,NA,1,0,0,1,NA
"NCGC00259985-01",1,0,0,NA,NA,NA,0,1,0,1,NA,0
"NCGC00255966-01",0,0,0,0,1,0,0,NA,0,NA,NA,0
"NCGC00257031-01",1,0,0,0,0,NA,0,NA,0,0,NA,1
"NCGC00260492-01",1,0,0,NA,1,NA,0,1,0,0,NA,0
"NCGC00259959-01",0,0,0,0,NA,NA,0,NA,0,0,0,0
"NCGC00254486-01",NA,0,0,0,0,0,0,NA,0,0,NA,0
"NCGC00254622-01",NA,0,0,NA,NA,0,0,1,0,0,NA,0
"NCGC00258430-01",1,0,0,NA,1,0,0,NA,1,NA,NA,0
"NCGC00257391-01",1,0,0,NA,1,NA,0,NA,1,0,NA,0
"NCGC00257640-01",0,NA,NA,NA,0,0,0,0,0,0,0,0
"NCGC00256842-01",0,0,0,NA,0,0,0,NA,0,NA,NA,0
"NCGC00259921-01",NA,0,0,NA,NA,NA,0,0,0,0,0,0
"NCGC00259307-01",NA,NA,0,NA,0,0,0,0,0,0,0,0
"NCGC00259885-01",0,0,NA,NA,0,0,NA,0,0,0,NA,0
"NCGC00259373-01",1,NA,0,NA,0,0,NA,0,0,0,0,0
"NCGC00255539-01",1,0,NA,NA,NA,0,0,1,0,0,NA,0
"NCGC00259747-01",1,0,0,0,NA,0,NA,1,0,0,NA,0
"NCGC00260032-01",0,0,1,1,NA,1,NA,NA,1,0,1,1
"NCGC00254549-01",0,0,NA,0,0,0,NA,1,0,1,1,1
"NCGC00258828-01",0,0,0,NA,NA,NA,0,1,0,NA,1,1
"NCGC00257573-01",0,NA,NA,NA,0,0,0,1,0,0,0,0
"NCGC00254742-01",0,0,NA,0,NA,0,NA,0,0,0,1,0
"NCGC00258111-01",0,0,0,0,1,1,NA,1,0,NA,1,NA
"NCGC00254697-01",1,0,0,NA,NA,0,0,NA,0,0,NA,0
"NCGC00259415-01",NA,0,0,NA,NA,0,0,0,1,0,NA,0
"NCGC00256833-01",0,0,0,0,0,NA,NA,0,0,NA,0,0
"NCGC00258812-01",0,0,NA,0,NA,0,0,1,0,0,1,NA
"NCGC00160641-01",0,0,0,NA,NA,0,0,0,NA,0,NA,0
"NCGC00182031-01",NA,0,0,NA,NA,0,0,0,1,0,NA,0
"NCGC00255789-01",NA,0,0,NA,0,0,0,1,0,0,NA,NA
"NCGC00255012-01",NA,0,0,0,NA,NA,0,1,0,0,0,0
"NCGC00254316-01",NA,0,0,NA,0,0,0,NA,0,0,NA,0
"NCGC00164449-04",0,0,0,NA,0,0,0,NA,0,0,NA,NA
"NCGC00254849-01",NA,0,0,1,0,0,NA,0,0,0,NA,0
"NCGC00258703-01",0,0,1,NA,0,1,NA,1,1,NA,NA,0
"NCGC00255047-01",NA,0,0,NA,NA,0,0,NA,0,0,0,0
"NCGC00260673-01",NA,NA,0,NA,0,0,NA,1,1,0,1,0
"NCGC00258301-01",NA,0,NA,0,NA,0,0,1,0,0,1,0
"NCGC00254284-01",0,0,0,0,0,0,0,NA,0,NA,NA,0
"NCGC00257277-01",0,0,0,0,NA,0,NA,NA,0,1,1,0
"NCGC00260071-01",NA,0,0,NA,0,0,NA,0,0,0,NA,1
"NCGC00259855-01",0,0,NA,0,0,0,NA,NA,0,0,0,0
"NCGC00254765-01",0,0,0,NA,NA,NA,0,1,0,0,NA,0
"NCGC00257615-01",0,0,0,0,0,0,NA,0,0,0,NA,NA
"NCGC00259899-01",0,0,0,NA,NA,0,0,NA,0,0,0,0
"NCGC00090962-05",1,0,0,NA,1,NA,0,1,1,0,NA,0
"NCGC00258783-01",0,0,0,0,0,0,NA,0,0,0,NA,1
"NCGC00091009-05",0,1,1,0,1,1,0,NA,0,0,NA,1
"NCGC00254025-01",0,0,NA,0,NA,0,0,NA,1,0,0,0
"NCGC00260470-01",0,0,0,1,0,0,0,NA,0,NA,NA,0
"NCGC00254039-01",NA,0,0,NA,1,1,NA,0,0,0,1,0
"NCGC00091483-03",1,0,0,1,0,NA,NA,1,0,1,1,NA
"NCGC00258763-01",0,1,1,NA,NA,NA,NA,0,0,0,0,0
"NCGC00254250-01",0,0,0,NA,0,0,0,0,0,NA,NA,NA
"NCGC00258453-01",NA,0,0,NA,0,0,0,1,NA,0,1,NA
"NCGC00255961-01",0,0,0,NA,0,0,NA,NA,NA,0,0,0
"NCGC00257803-01",NA,0,0,NA,0,0,0,NA,0,NA,0,0
"NCGC00254204-01",NA,0,0,NA,NA,0,0,0,0,0,NA,0
"NCGC00255575-01",NA,0,0,0,0,0,0,NA,0,NA,0,0
"NCGC00255771-01",0,0,0,NA,0,0,0,NA,0,0,1,NA
"NCGC00259238-01",NA,0,0,NA,0,0,NA,NA,0,0,1,0
"NCGC00258170-01",NA,0,0,0,NA,0,NA,0,0,0,0,0
"NCGC00256196-01",NA,0,NA,0,0,0,0,NA,0,0,0,0
"NCGC00260127-01",0,0,0,NA,0,0,NA,NA,0,0,NA,0
"NCGC00258207-01",1,0,0,NA,NA,0,0,0,0,NA,NA,0
"NCGC00257326-01",0,0,0,0,NA,0,NA,1,0,0,NA,0
"NCGC00256554-01",0,0,0,0,1,0,0,NA,0,0,NA,NA
"NCGC00258800-01",0,0,0,0,NA,0,0,NA,NA,0,1,0
"NCGC00247698-01",0,0,0,0,NA,NA,0,NA,0,0,0,0
"NCGC00257557-01",0,0,0,NA,0,0,0,NA,0,NA,0,0
"NCGC00256383-01",NA,0,0,NA,1,NA,0,0,0,0,NA,0
"NCGC00254608-01",NA,0,NA,0,0,0,NA,0,0,0,1,0
"NCGC00257723-01",1,0,0,NA,0,0,0,NA,0,NA,NA,0
"NCGC00258936-01",0,NA,0,NA,NA,0,NA,0,0,0,1,0
"NCGC00259385-01",1,0,NA,0,0,0,0,NA,0,0,NA,0
"NCGC00256998-01",NA,0,0,NA,NA,NA,0,0,0,0,0,0
"NCGC00259910-01",NA,0,0,1,NA,0,0,0,0,0,1,NA
"NCGC00256699-01",0,0,0,NA,0,0,0,NA,0,NA,0,NA
"NCGC00255119-01",1,0,0,NA,NA,0,0,NA,0,0,NA,0
"NCGC00257932-01",1,0,0,0,1,0,NA,NA,1,0,NA,0
"NCGC00259862-01",NA,0,0,NA,0,0,0,1,0,NA,1,NA
"NCGC00256307-01",0,0,0,0,NA,0,0,NA,0,0,NA,0
"NCGC00257680-01",NA,0,0,NA,0,0,0,NA,0,0,1,0
"NCGC00259993-01",0,0,1,0,NA,NA,0,0,0,0,NA,0
